Dia da semana;Data;Hora;Umidade solo;Umidade Ambiente;Temperatura;Volume Água (L)
Terça; 2023-12-09; 8:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-12-09; 8:29:00; 62.0; 43.0; 25.0; 8.0
Terça; 2023-12-09; 8:39:00; 45.0; 43.0; 25.0; 7.0
Terça; 2023-12-09; 8:49:00; 45.0; 43.0; 25.0; 6.0
Terça; 2023-12-09; 8:58:00; 0.0; 42.0; 25.0; 9.0
Terça; 2023-12-09; 8:58:00; 60.0; 42.0; 25.0; 9.0
Terça; 2023-12-09; 8:59:00; 66.0; 42.0; 25.0; 9.0
Terça; 2023-12-09; 9:00:00; 0.0; 42.0; 26.0; 1.0
Terça; 2023-12-09; 9:06:00; 0.0; 43.0; 26.0; 1.0
Terça; 2023-12-09; 9:06:00; 0.0; 43.0; 26.0; 1.0
Terça; 2023-12-09; 9:14:00; 0.0; 0.0; 44.0; 9.0
Terça; 2023-12-09; 9:24:00; 0.0; 0.0; 42.0; 2.0
Terça; 2023-12-09; 9:25:00; 56.0; 1.0; 41.0; 3.0
Terça; 2023-12-09; 9:33:00; 45.0; 30.0; 30.0; 2.0
Terça; 2023-12-09; 9:43:00; 43.0; 37.0; 27.0; 9.0
Terça; 2023-12-09; 9:47:00; 39.0; 38.0; 27.0; 4.0
Terça; 2023-12-09; 9:47:00; 42.0; 38.0; 27.0; 4.0
Terça; 2023-12-09; 9:50:00; 39.0; 38.0; 27.0; 2.0
Terça; 2023-12-09; 9:50:00; 62.0; 38.0; 27.0; 2.0
Terça; 2023-12-09; 9:51:00; 0.0; 38.0; 27.0; 2.0
Terça; 2023-12-09; 9:51:00; 61.0; 38.0; 27.0; 2.0
Terça; 2023-12-09; 9:53:00; 43.0; 39.0; 27.0; 1.0
Terça; 2023-12-09; 10:00:00; 38.0; 40.0; 26.0; 7.0
Terça; 2023-12-09; 10:00:00; 60.0; 40.0; 26.0; 7.0
Terça; 2023-12-09; 10:01:00; 52.0; 41.0; 26.0; 7.0
Terça; 2023-12-09; 10:02:00; 0.0; 41.0; 26.0; 7.0
Terça; 2023-12-09; 10:02:00; 63.0; 41.0; 26.0; 7.0
Terça; 2023-12-09; 10:02:00; 0.0; 41.0; 26.0; 7.0
Terça; 2023-12-09; 10:02:00; 62.0; 41.0; 26.0; 7.0
Terça; 2023-12-09; 10:03:00; 47.0; 41.0; 26.0; 7.0
Terça; 2023-12-09; 10:03:00; 0.0; 40.0; 26.0; 6.0
Terça; 2023-12-09; 10:03:00; 66.0; 40.0; 26.0; 6.0
Terça; 2023-12-09; 10:03:00; 66.0; 40.0; 26.0; 6.0
Terça; 2023-12-09; 10:55:00; 0.0; 41.0; 26.0; 3.0
Terça; 2023-12-09; 10:55:00; 60.0; 41.0; 26.0; 3.0
Terça; 2023-12-09; 10:55:00; 0.0; 40.0; 26.0; 3.0
Terça; 2023-12-09; 10:55:00; 60.0; 40.0; 26.0; 3.0
Terça; 2023-12-09; 11:00:00; 50.0; 39.0; 26.0; 7.0
Terça; 2023-12-09; 11:01:00; 0.0; 40.0; 26.0; 8.0
Terça; 2023-12-09; 11:01:00; 60.0; 40.0; 26.0; 8.0
Terça; 2023-12-09; 11:04:00; 73.0; 39.0; 26.0; 9.0
Terça; 2023-12-09; 11:14:00; 70.0; 43.0; 26.0; 9.0
Terça; 2023-12-09; 11:24:00; 67.0; 45.0; 26.0; 7.0
Terça; 2023-12-09; 11:34:00; 66.0; 44.0; 26.0; 8.0
Terça; 2023-12-09; 11:44:00; 65.0; 42.0; 26.0; 8.0
Terça; 2023-12-09; 11:54:00; 64.0; 42.0; 26.0; 8.0
Terça; 2023-12-09; 12:04:00; 64.0; 41.0; 26.0; 8.0
Terça; 2023-12-09; 12:14:00; 63.0; 42.0; 26.0; 7.0
Terça; 2023-12-09; 12:24:00; 63.0; 40.0; 26.0; 6.0
Terça; 2023-12-09; 12:34:00; 62.0; 40.0; 26.0; 5.0
Terça; 2023-09-13; 8:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-13; 9:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-13; 10:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-13; 11:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-13; 12:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-13; 13:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-13; 14:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-13; 15:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-13; 16:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-13; 17:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-13; 18:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-13; 19:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-13; 20:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-13; 21:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-14; 8:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-14; 9:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-14; 10:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-14; 11:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-14; 12:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-14; 13:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-14; 14:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-14; 15:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-14; 16:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-14; 17:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-14; 18:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-14; 19:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-14; 20:26:00; 48.0; 43.0; 25.0; 5.0
Terça; 2023-09-14; 21:26:00; 48.0; 43.0; 25.0; 5.0
